patch,champion_name,champion_name_kr,role,pick_count,pick_rate_pct,win_rate_pct,avg_kda,avg_gpm,avg_vision,sample_flag
15.3,Naafiri,나피리,JUNGLE,3,0.006,33.33,3.067,398.6,29.0,LOW_N
15.3,Neeko,니코,JUNGLE,3,0.006,0.0,2.304,414.9,23.33,LOW_N
15.3,Nilah,닐라,TOP,3,0.006,66.67,2.12,530.3,10.67,LOW_N
15.3,Ornn,오른,MID,3,0.006,100.0,3.278,435.2,12.67,LOW_N
15.3,Pyke,파이크,JUNGLE,3,0.006,66.67,1.922,298.8,45.67,LOW_N
15.3,Pyke,파이크,MID,3,0.006,0.0,1.803,359.5,12.67,LOW_N
15.3,Quinn,퀸,BOT,3,0.006,66.67,3.032,444.4,21.0,LOW_N
15.3,Quinn,퀸,JUNGLE,3,0.006,66.67,3.311,455.9,27.67,LOW_N
15.3,Rammus,람머스,SUPPORT,3,0.006,66.67,6.067,323.6,44.33,LOW_N
15.3,Rumble,럼블,JUNGLE,3,0.006,33.33,1.608,370.2,23.67,LOW_N
15.3,Senna,세나,TOP,3,0.006,33.33,2.321,344.7,9.67,LOW_N
15.3,Shen,쉔,JUNGLE,3,0.006,100.0,4.75,384.8,21.67,LOW_N
15.3,Skarner,스카너,SUPPORT,3,0.006,0.0,1.67,276.5,52.67,LOW_N
15.3,Soraka,소라카,TOP,3,0.006,66.67,5.889,327.9,21.33,LOW_N
15.3,TahmKench,탐 켄치,MID,3,0.006,66.67,3.968,418.0,7.67,LOW_N
15.3,Teemo,티모,MID,3,0.006,33.33,3.444,402.5,13.67,LOW_N
15.3,Thresh,쓰레쉬,JUNGLE,3,0.006,100.0,7.742,297.8,81.0,LOW_N
15.3,Tristana,트리스타나,TOP,3,0.006,66.67,1.897,432.3,13.0,LOW_N
15.3,Urgot,우르곳,MID,3,0.006,66.67,7.143,505.1,22.0,LOW_N
15.3,Varus,바루스,SUPPORT,3,0.006,100.0,2.109,317.8,85.33,LOW_N
15.3,Vex,벡스,TOP,3,0.006,66.67,3.848,418.5,13.0,LOW_N
15.3,Yone,요네,BOT,3,0.006,66.67,1.819,411.5,10.0,LOW_N
15.3,Ziggs,직스,SUPPORT,3,0.006,33.33,1.346,337.2,44.67,LOW_N
15.3,Akshan,아크샨,SUPPORT,2,0.004,50.0,2.167,366.5,69.0,LOW_N
15.3,Anivia,애니비아,BOT,2,0.004,50.0,12.7,396.0,15.5,LOW_N
15.3,Aphelios,아펠리오스,MID,2,0.004,50.0,1.548,373.1,11.5,LOW_N
15.3,Bard,바드,JUNGLE,2,0.004,50.0,4.313,381.4,57.5,LOW_N
15.3,Darius,다리우스,SUPPORT,2,0.004,50.0,1.516,329.5,78.5,LOW_N
15.3,Diana,다이애나,BOT,2,0.004,50.0,2.097,436.9,18.5,LOW_N
15.3,Ekko,에코,SUPPORT,2,0.004,0.0,1.51,335.7,48.5,LOW_N
15.3,Evelynn,이블린,SUPPORT,2,0.004,0.0,1.536,302.3,38.0,LOW_N
15.3,Fiora,피오라,MID,2,0.004,50.0,2.333,453.8,16.5,LOW_N
15.3,Fizz,피즈,SUPPORT,2,0.004,0.0,2.107,331.5,51.5,LOW_N
15.3,Garen,가렌,BOT,2,0.004,50.0,3.167,433.6,21.0,LOW_N
15.3,Graves,그레이브즈,MID,2,0.004,50.0,6.773,462.0,21.5,LOW_N
15.3,Graves,그레이브즈,TOP,2,0.004,100.0,6.667,452.7,14.5,LOW_N
15.3,Illaoi,일라오이,MID,2,0.004,50.0,0.913,392.5,8.5,LOW_N
15.3,Ivern,아이번,TOP,2,0.004,50.0,3.778,343.0,15.5,LOW_N
